Universidad;Título;Tipo de universidad;Nota de corte 2019/2020;Nota media de admisión 2019/2020;Ofertas de plazas curso 2019/2020;Créditos necesarios;Precio del crédito 2019/2020
Universidad de Castilla- La Mancha;Grado en Medicina;Pública / Propio;12.68;12.62;75;360;18,87 €
Universidad de La Laguna;Grado en Medicina;Pública / Propio;12.68;12.8;130;360;14,59 €
Universidad de Castilla- La Mancha;Grado en Medicina;Pública / Propio;12.67;12.92;125;360;18,87 €
Universitat de València (Estudi General);Grado en Bioquímica y Ciencias Biomédicas;Pública / Propio;12.65;12.92;80;240;20,27 €
Universidad Carlos III de Madrid;Grado en Ingeniería Aeroespacial;Pública / Propio;12.65;13.04;95;240;24,55 €
Universidad de Murcia;Grado en Medicina;Pública / Propio;12.64;12.95;200;360;16,78 €
Universidad de Barcelona;Grado en Medicina;Pública / Propio;12.63;12.89;259;360;39,53 €
Universidad Carlos III de Madrid;Grado en Empresa y Tecnología;Pública / Propio;12.62;12.74;50;240;21,39 €
Universidad de Sevilla;Grado en Bioquímica;Pública / Propio;12.58;12.71;55;240;12,62 €
Universidad Autónoma de Madrid;Grado en Matemáticas;Pública / Propio;12.57;12.66;75;240;21,39 €
Universidad de Extremadura;Grado en Medicina;Pública / Propio;12.55;12.6;120;360;18,51 €
Universidad Complutense de Madrid;Grado en Bioquímica;Pública / Propio;12.55;12.56;44;240;26,14 €
Universidad de Zaragoza;Grado en Medicina;Pública / Propio;12.52;12.74;180;360;23,39 €
Universidad Politécnica de Madrid;Grado en Ingeniería Biomédica;Pública / Propio;12.51;n/d;90;240;26,14 €
Universitat Politècnica de València;Grado en Ingeniería Aeroespacial;Pública / Propio;12.5;13.05;120;240;20,27 €
Universidad Pública de Navarra;Grado en Medicina;Pública / Propio;12.5;-;60;360;23,05 €
Universitat de València (Estudi General);Grado en Odontología;Pública / Propio;12.5;n/d;80;300;21,16 €
Universidad Pompeu Fabra;Grado en Medicina;Pública / Propio;12.49;12.81;60;360;39,53 €
Universidad de Las Palmas de Gran Canaria;Grado en Medicina;Pública / Propio;12.49;13.1;135;360;14,59 €
Universidad de Oviedo;Grado en Medicina;Pública / Propio;12.49;n/d;153;360;15,70 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Bioquímica y Biología Molecular;Pública / Propio;12.48;13;40;240;19,84 €
Universidad Politécnica de Catalunya;Grado en Ingeniería Física;Pública / Propio;12.48;12.87;40;240;39,53 €
Universidad de Valladolid;Grado en Medicina;Pública / Propio;12.48;12.48;180;360;22,93 €
Universidad de Salamanca;Grado en Medicina;Pública / Propio;12.45;12.41;180;360;22,93 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Medicina;Pública / Propio;12.45;12.62;330;360;19,84 €
Universidad de Alcalá;Grado en Biología Sanitaria;Pública / Propio;12.41;12.57;100;240;26,14 €
Universidad de Salamanca;Grado en Biotecnología;Pública / Propio;12.41;12.46;35;240;18,32 €
Universidad de Santiago de Compostela;Grado en Medicina;Pública / Propio;12.41;12.51;360;360;13,93 €
Universidad Pompeu Fabra;Grado en Estudios Internacionales de Economía y Empresa / International Business Economics;Pública / Propio;12.4;12.64;90;240;25,27 €
Universidad de Sevilla;Grado en Ingeniería Aeroespacial;Pública / Propio;12.4;12.85;130;240;12,62 €
Universidad Carlos III de Madrid;Grado en Estudios Internacionales;Pública / Propio;12.39;12.9;75;240;21,39 €
Universitat de València (Estudi General);Grado en Física;Pública / Propio;12.39;12.6;80;240;16,41 €
Universidad Autónoma de Barcelona;Grado en Ciencias Biomédicas;Pública / Propio;12.38;12.43;60;240;39,53 €
Universidad de Cantabria;Grado en Medicina;Pública / Propio;12.36;12.47;119;360;16,07 €
Universidad de Zaragoza;Grado en Medicina;Pública / Propio;12.35;12.47;44;360;23,39 €
Universidad de Granada;Grado en Biotecnología;Pública / Propio;12.35;12.79;50;240;12,62 €
Universidad de Santiago de Compostela;Grado en Biotecnología;Pública / Propio;12.34;12.49;50;240;13,93 €
Universidad de Granada;Grado en Bioquímica;Pública / Propio;12.33;12.77;55;240;12,62 €
Universidad Politécnica de Catalunya;Grado en Ciencia e Ingeniería de Datos;Pública / Propio;12.32;12.55;50;240;39,53 €
Universidad Autónoma de Barcelona;Grado en Medicina;Pública / Propio;12.3;12.41;320;360;39,53 €
Universidad de Barcelona;Grado en Ingeniería Biomédica;Pública / Propio;12.29;12.41;40;240;39,53 €
Universitat de les Illes Balears;Grado en Medicina;Pública / Propio;12.28;n/d;60;360;20,82 €
Universidad Pompeu Fabra;Grado en Estudios Globales / Global Studies;Pública / Propio;12.27;12.67;40;180;25,27 €
Universidad de La Rioja;Grado en Matemáticas;Pública / Propio;12.27;n/d;25;240;14,60 €
Universidad Carlos III de Madrid;Grado en Applied Mathematics and Computing / Matemática Aplicada y Computación;Pública / Propio;12.26;-;30;240;24,55 €
Universidad de Sevilla;Grado en Odontología;Pública / Propio;12.24;12.52;95;300;12,62 €
Universidad Complutense de Madrid;Grado en Odontología;Pública / Propio;12.23;12.36;100;300;26,14 €
Universidad de Girona;Grado en Medicina;Pública / Propio;12.2;12.32;80;360;39,53 €
Universidad Pablo de Olavide;Grado en Biotecnología;Pública / Propio;12.2;12.68;60;240;12,62 €
Universidad Rovira i Virgili;Grado en Medicina;Pública / Propio;12.18;12.29;125;360;39,53 €
Universidad de Lleida;Grado en Medicina;Pública / Propio;12.18;12.27;110;360;39,53 €
Universidad Rey Juan Carlos;Grado en Odontología;Pública / Propio;12.18;12.13;40;300;26,14 €
Universidad Complutense de Madrid;Grado en Matemáticas;Pública / Propio;12.17;12.03;142;240;21,39 €
Universitat Politècnica de València;Grado en Ingeniería Biomédica;Pública / Propio;12.16;12.72;75;240;20,27 €
Universitat Politècnica de València;Grado en Biotecnología;Pública / Propio;12.13;12.71;115;240;20,27 €
Universidad Politécnica de Madrid;Grado en Ingeniería de Organización;Pública / Propio;12.13;12.18;50;240;24,55 €
Universidad Complutense de Madrid;Grado en Física;Pública / Propio;12.12;12.46;225;240;24,55 €
Universidad Politécnica de Catalunya;Grado en Ingeniería en Tecnologías Aeroespaciales;Pública / Propio;12.11;12.77;60;240;39,53 €
Universidad de Granada;Grado en Odontología;Pública / Propio;12.11;12.14;85;300;12,62 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Biotecnología;Pública / Propio;12.11;12.36;40;240;19,84 €
Universitat de València (Estudi General);Grado en Enfermería;Pública / Adscrito;12.09;12.14;70;240;
Universidad de Málaga;Grado en Bioquímica;Pública / Propio;12.09;12.31;65;240;12,62 €
Universidad de Barcelona;Grado en Ciencias Biomédicas;Pública / Propio;12.08;12.45;155;240;39,53 €
Universidad de Sevilla;Grado en Fisioterapia;Pública / Propio;12.05;n/d;105;240;12,62 €
Universidad Politécnica de Madrid;Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto;Pública / Propio;12.03;12.38;60;240;24,55 €
Universidad Politécnica de Catalunya;Grado en Tecnologías Industriales y Análisis Económico / Industrial Technologies and Economic Analysis;Pública / Propio;12.02;12.42;50;240;39,53 €
Universitat de València (Estudi General);Grado en Negocios Internacionales\ International Business;Pública / Propio;12.01;12.32;150;240;14,96 €
Universidad de Alicante;Grado en Física;Pública / Propio;12.01;n/d;50;240;16,41 €
Universidad Politécnica de Madrid;Grado en Matemáticas e Informática;Pública / Propio;11.99;11.79;50;240;21,39 €
Universidad Rey Juan Carlos;Grado en Ingeniería Biomédica;Pública / Propio;11.98;n/d;60;240;26,14 €
Universidad Rey Juan Carlos;Grado en Matemáticas;Pública / Propio;11.96;n/d;15;240;21,39 €
Universidad Complutense de Madrid;Grado en Ingeniería Matemática;Pública / Propio;11.95;12.08;58;240;24,55 €
Universidad Autónoma de Barcelona;Grado en Física;Pública / Propio;11.92;12.25;70;240;35,77 €
Universidad Pompeu Fabra;Grado en Ingeniería Biomédica;Pública / Propio;11.9;12.37;40;240;39,53 €
Universidad de Granada;Grado en Fisioterapia;Pública / Propio;11.89;11.67;61;240;12,62 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Odontología;Pública / Propio;11.89;11.97;35;300;19,84 €
Universidad Complutense de Madrid;Grado en Matemáticas y Estadística;Pública / Propio;11.89;11.41;42;240;21,39 €
Universidad de Zaragoza;Grado en Biotecnología;Pública / Propio;11.87;12.81;66;240;23,39 €
Universidad de Córdoba;Grado en Bioquímica;Pública / Propio;11.86;12.14;50;240;12,62 €
Universidad de León;Grado en Biotecnología;Pública / Propio;11.84;12.13;50;240;18,32 €
Universidad Rey Juan Carlos;Grado en Ingeniería Biomédica;Pública / Propio;11.83;11.87;60;240;26,14 €
Universitat de València (Estudi General);Grado en Matemáticas;Pública / Propio;11.83;11.99;100;240;16,41 €
Universidad Autónoma de Barcelona;Grado en Genética;Pública / Propio;11.83;12.18;60;240;35,77 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Física;Pública / Propio;11.81;12.74;70;240;19,19 €
Universidad de Lleida;Grado en Ciencias Biomédicas;Pública / Propio;11.79;12.05;45;240;39,53 €
Universidad Complutense de Madrid;Grado en Veterinaria;Pública / Propio;11.79;12.05;155;300;26,14 €
Universitat de València (Estudi General);Grado en Biotecnología;Pública / Propio;11.78;12.04;80;240;20,27 €
Universidad Pompeu Fabra;Grado en Publicidad y Relaciones Públicas;Pública / Propio;11.77;11.81;80;240;35,77 €
Universidad de Málaga;Grado en Fisioterapia;Pública / Propio;11.77;11.7;65;240;12,62 €
Universidad Politécnica de Cartagena;Grado en Ingeniería en Organización Industrial;Pública / Adscrito;-;12.32;-;240;
Universidad Politécnica de Madrid;Grado en Ingeniería Aeroespacial;Pública / Propio;11.73;12.19;525;240;24,55 €
Universidad de Valladolid;Grado en Matemáticas;Pública / Propio;11.73;11.54;35;240;14,05 €
Universidad de Zaragoza;Grado en Odontología;Pública / Propio;11.71;11.43;36;300;23,39 €
Universitat de València (Estudi General);Grado en Traducción y Mediación Interlingüística;Pública / Propio;11.71;10.94;100;240;14,96 €
Universidad de Alicante;Grado en Matemáticas;Pública / Propio;11.71;11.79;50;240;16,41 €
Universidad de Valladolid;Grado en Ingeniería Biomédica;Pública / Propio;11.7;-;40;240;21,01 €
Universidad Rey Juan Carlos;Grado en Diseño y Gestión de Moda;Pública / Propio;11.68;11.8;25;240;21,39 €
Universidad de La Laguna;Grado en Enfermería;Pública / Adscrito;11.68;11.78;60;240;
Universidad de Alicante;Grado en Traducción e Interpretación;Pública / Propio;11.68;10.16;180;240;14,96 €
Universidad Complutense de Madrid;Grado en Fisioterapia;Pública / Propio;11.65;11.74;70;240;26,14 €
Universidad de Alcalá;Grado en Criminalística: Ciencias y Tecnologías Forenses;Pública / Propio;11.65;11.52;60;240;26,14 €
Universidad de Sevilla;Grado en Enfermería;Pública / Propio;11.64;11.69;260;240;12,62 €
Universidad Pompeu Fabra;Grado en Biología Humana;Pública / Propio;11.62;12.2;65;240;39,53 €
Universidad de Barcelona;Grado en Odontología;Pública / Propio;11.62;11.8;120;300;39,53 €
Universidad de Barcelona;Grado en Matemáticas;Pública / Propio;11.6;12.01;80;240;35,77 €
Universidad Autónoma de Barcelona;Grado en Veterinaria;Pública / Propio;11.6;11.9;115;300;39,53 €
Universidad de Santiago de Compostela;Grado en Odontología;Pública / Propio;11.6;12.1;50;300;13,93 €
Universidad de Barcelona;Grado en Física;Pública / Propio;11.6;12.09;180;240;35,77 €
Universidad de Granada;Grado en Matemáticas;Pública / Propio;11.58;11.83;100;240;12,62 €
Universidad de Murcia;Grado en Odontología;Pública / Propio;11.52;11.9;40;300;16,78 €
Universidad de Oviedo;Grado en Odontología;Pública / Propio;11.52;n/d;25;300;15,70 €
Universidad de Zaragoza;Grado en Física;Pública / Propio;11.49;12.12;82;240;21,66 €
Universidad de Granada;Grado en Enfermería;Pública / Propio;11.48;11.55;200;240;12,62 €
Universidad Carlos III de Madrid;Grado en Data Science and Engineering/ Ciencia e Ingeniería de Datos;Pública / Propio;11.48;11.57;45;240;24,55 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Matemáticas;Pública / Propio;11.47;12.35;80;240;14,39 €
Universidad Autónoma de Madrid;Grado en Economía y Finanzas;Pública / Propio;11.44;11.85;60;240;21,39 €
Universidad de Sevilla;Grado en Física;Pública / Propio;11.44;11.94;90;240;12,62 €
Universidad de Santiago de Compostela;Grado en Matemáticas;Pública / Propio;11.42;12.18;110;240;13,93 €
Universidad Autónoma de Madrid;Grado en Enfermería;Pública / Propio;11.42;11.68;180;240;26,14 €
Universitat de València (Estudi General);Grado en Inteligencia y Analítica de Negocios / BIA;Pública / Propio;11.42;-;50;240;14,96 €
Universidad de Oviedo;Grado en Enfermería;Pública / Propio;11.42;n/d;104;240;15,70 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en FISIOTERAPIA;Pública / Propio;11.42;11.78;60;240;19,84 €
Universitat Politècnica de València;Grado en Diseño y Tecnologías Creativas;Pública / Propio;11.4;11.5;100;240;16,41 €
Universidad de Alcalá;Grado en Fisioterapia;Pública / Propio;11.39;11.52;65;240;26,14 €
Universidad de Santiago de Compostela;Grado en Física;Pública / Propio;11.38;11.96;90;240;13,93 €
Universidad Politécnica de Madrid;Grado en Ingeniería en Tecnologías Industriales;Pública / Propio;11.38;12.05;370;240;24,55 €
Universidad de Barcelona;Grado en Enfermería;Pública / Propio;11.38;10.84;390;240;39,53 €
Universidad Carlos III de Madrid;Grado en Comunicación Audiovisual/Bachelor in Film, Television and Media Studies;Pública / Propio;11.38;11.97;130;240;21,39 €
Universidad Pablo de Olavide;Grado en Administración y Dirección de Empresas;Pública / Propio;11.36;n/d;120;240;12,62 €
Universidad de Granada;Grado en Física;Pública / Propio;11.36;12.21;130;240;12,62 €
Universidad de Sevilla;Grado en Ingeniería Electrónica, Robótica y Mecatrónica;Pública / Propio;11.36;12.25;65;240;12,62 €
Universidad Complutense de Madrid;Grado en Diseño;Pública / Propio;11.34;11.43;90;240;21,39 €
Universidad de Málaga;Grado en Enfermería;Pública / Propio;11.33;11.31;165;240;12,62 €
Universidad Carlos III de Madrid;Grado en Economía/ Bachelor in Economics;Pública / Propio;11.32;11.99;165;240;21,39 €
Universidad de Oviedo;Grado en Biotecnología;Pública / Propio;11.32;n/d;47;240;12,30 €
Universidad Autónoma de Barcelona;Grado en Bioquímica;Pública / Propio;11.31;11.79;60;240;35,77 €
Universidad Rey Juan Carlos;Grado en Ingeniería Aeroespacial;Pública / Propio;11.31;11.22;55;240;24,55 €
en Vehículos Aeroespaciales;;;;;;;
Universidad Pompeu Fabra;Grado en Comunicación Audiovisual;Pública / Propio;11.29;11.67;80;240;35,77 €
Universidad Miguel Hernández de Elche;Grado en Biotecnología;Pública / Propio;11.29;12.17;75;240;20,27 €
Universidad de Córdoba;Grado en Veterinaria;Pública / Propio;11.29;11.5;150;300;12,62 €
Universidad de Cádiz;Grado en Biotecnología;Pública / Propio;11.27;11.76;55;240;12,62 €
Universidad Politécnica de Catalunya;Grado en Ingeniería Biomédica;Pública / Propio;11.27;11.71;50;240;39,53 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Enfermería;Pública / Propio;11.26;11.55;165;240;19,84 €
Universidad de Cádiz;Grado en Fisioterapia;Pública / Propio;11.26;11.06;60;240;12,62 €
Universidad de Córdoba;Grado en Enfermería;Pública / Propio;11.24;11.35;126;240;12,62 €
Universidad de La Laguna;Grado en Enfermería;Pública / Propio;11.23;11.09;150;240;14,59 €
Universidad Complutense de Madrid;Grado en Criminología;Pública / Propio;11.22;11.53;60;240;24,55 €
Universidad de Murcia;Grado en Biotecnología;Pública / Propio;11.22;12.76;50;240;16,78 €
Universidad Autónoma de Barcelona;Grado en Matemáticas;Pública / Propio;11.21;11.68;70;240;35,77 €
Universidad Complutense de Madrid;Grado en Relaciones Internacionales;Pública / Propio;11.2;11.85;80;240;21,39 €
Universidad de Alicante;Grado en Ingeniería Biomédica;Pública / Propio;11.18;n/d;60;240;20,27 €
Universidad de Las Palmas de Gran Canaria;Grado en Enfermería;Pública / Propio;11.17;11.78;150;240;14,59 €
Universidad de Oviedo;Grado en Matemáticas;Pública / Propio;11.17;9.59;37;240;12,30 €
Universidad de Córdoba;Grado en Fisioterapia;Pública / Propio;11.17;11.4;45;240;12,62 €
Universidad Autónoma de Barcelona;Grado en Relaciones Internacionales;Pública / Propio;11.17;11.75;50;240;25,27 €
Universidad Carlos III de Madrid;Grado en Administración de Empresas// Bachelor in Business Administration;Pública / Propio;11.15;11.81;265;240;21,39 €
Universidad Autónoma de Barcelona;Grado en Microbiología;Pública / Propio;11.15;11.3;60;240;35,77 €
Universidad Pública de Navarra;Grado en Biotecnología;Pública / Propio;11.15;12.14;40;240;23,05 €
Universidad de Alicante;Grado en Enfermería;Pública / Propio;11.14;11.22;200;240;21,16 €
Universitat de València (Estudi General);Grado en Enfermería;Pública / Propio;11.14;10.94;325;240;21,16 €
Universidad de Zaragoza;Grado en Matemáticas;Pública / Propio;11.13;11.98;66;240;16,20 €
Universidad Complutense de Madrid;Grado en Enfermería;Pública / Propio;11.11;11.19;250;240;26,14 €
Universidad Pública de Navarra;Grado en Ingeniería Biomédica;Pública / Propio;11.1;11.94;25;240;23,05 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Enfermería;Pública / Adscrito;11.1;11.59;80;240;
Universidad Carlos III de Madrid;Grado en Ingeniería en Tecnologías Industriales;Pública / Propio;11.08;11.65;210;240;24,55 €
Universidad de León;Grado en Ingeniería Aeroespacial;Pública / Propio;11.08;11.19;60;240;21,01 €
Universidad Rey Juan Carlos;Grado en Relaciones Internacionales;Pública / Propio;11.07;12.04;65;240;21,39 €
Universidad de Málaga;Grado en Ingeniería Electrónica, Robótica y Mecatrónica;Pública / Propio;11.07;12.33;65;240;12,62 €
Universidad de Murcia;Grado en Matemáticas;Pública / Propio;11.07;11.73;60;240;14,38 €
Universidad de Cádiz;Grado en Ingeniería Aeroespacial;Pública / Propio;11.06;11.67;70;240;12,62 €
Universidad Politécnica de Madrid;Grado en Ingeniería Mecánica;Pública / Propio;11.06;11.29;110;240;24,55 €
Universidad de Málaga;Grado en Traducción e Interpretación;Pública / Propio;11.04;11.22;150;240;12,62 €
Universidad de Santiago de Compostela;Grado en Enfermería;Pública / Propio;11.04;11.53;150;240;13,93 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Enfermería;Pública / Propio;11.03;11.3;120;240;19,84 €
Universidad Carlos III de Madrid;Grado en Estadística y Empresa;Pública / Propio;11.03;10.84;60;240;21,39 €
Universidad de Cantabria;Grado en Estudios Hispánicos;Pública / Adscrito;11.03;10.19;50;240;
Universidad de Barcelona;Grado en Bioquímica;Pública / Propio;11.03;12.2;60;240;35,77 €
Universidad Rey Juan Carlos;Grado en Ingeniería Aeroespacial en Aeronavegación;Pública / Propio;11.02;10.98;35;240;24,55 €
Universidad Rey Juan Carlos;Grado en Diseño Integral y Gestión de la Imagen;Pública / Propio;11.01;10.76;25;240;21,39 €
Universidad de Sevilla;Grado en Enfermería;Pública / Adscrito;11.01;10.65;70;240;
Universidad Complutense de Madrid;Grado en Farmacia;Pública / Propio;11;11.61;375;300;26,14 €
Universidad Autónoma de Barcelona;Grado en Biotecnología;Pública / Propio;11;11.78;80;240;35,77 €
Universidad Politécnica de Madrid;Grado en Ingeniería Química;Pública / Propio;10.99;11.11;60;240;24,55 €
Universidad de Sevilla;Grado en Matemáticas;Pública / Propio;10.99;11.65;132;240;12,62 €
Universidad de Granada;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;10.97;11.5;190;240;12,62 €
Universidad Autónoma de Barcelona;Grado en Publicidad y Relaciones Públicas;Pública / Propio;10.97;11.2;80;240;35,77 €
Universidad de Alicante;Grado en Ingeniería Robótica;Pública / Propio;10.97;11.85;60;240;20,27 €
Universidad de Murcia;Grado en Farmacia;Pública / Propio;10.97;12.03;50;300;16,78 €
Universidad de La Laguna;Grado en Fisioterapia;Pública / Propio;10.96;11.37;60;240;14,59 €
Universidad de Oviedo;Grado en Enfermería;Pública / Adscrito;10.96;n/d;72;240;
Universidad Rey Juan Carlos;Grado en Enfermería;Pública / Propio;10.95;10.9;85;240;26,14 €
Universidad Rey Juan Carlos;Grado en Fisioterapia;Pública / Propio;10.94;10.96;140;240;26,14 €
Universidad Carlos III de Madrid;Grado en Ingeniería de la Energía;Pública / Propio;10.92;10.65;40;240;24,55 €
Universidad Autónoma de Barcelona;Grado en Matemática Computacional y Analítica de Datos;Pública / Propio;10.92;11;40;240;39,53 €
Universidad de Santiago de Compostela;Grado en Ingeniería Informática;Pública / Propio;10.9;11.76;66;240;13,93 €
Universidad de Málaga;Grado en Matemáticas;Pública / Propio;10.9;11.23;75;240;12,62 €
Universidad de Zaragoza;Grado en Enfermería;Pública / Propio;10.9;11.41;160;240;23,39 €
Universidad de Alcalá;Grado en Enfermería;Pública / Propio;10.88;11.16;100;240;26,14 €
Universidad de Valladolid;Grado en Física;Pública / Propio;10.88;11.9;50;240;14,05 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Biología;Pública / Propio;10.88;11.57;90;240;19,84 €
Universidad Pompeu Fabra;Grado en Ingeniería Matemática en Ciencia de Datos / Mathematical Engineering on Data Science;Pública / Propio;10.88;11.56;40;240;39,53 €
Universidad de Cádiz;Grado en Enfermería;Pública / Propio;10.86;11.17;125;240;12,62 €
Universidad de La Rioja;Grado en Enfermería;Pública / Adscrito;10.85;10.62;75;240;
Universidad de A Coruña;Grado en Fisioterapia;Pública / Propio;10.84;11.08;60;240;13,93 €
Universidad Pablo de Olavide;Grado en Traducción e Interpretación;Pública / Propio;10.83;11.58;185;240;12,62 €
Universidad Autónoma de Madrid;Grado en Estudios Internacionales;Pública / Propio;10.83;11.93;82;240;21,39 €
Universidad de Murcia;Grado en Bioquímica;Pública / Propio;10.83;12.48;70;240;16,78 €
Universidad de Zaragoza;Grado en Periodismo;Pública / Propio;10.82;11.46;60;240;21,66 €
Universidad de Extremadura;Grado en Fisioterapia;Pública / Propio;10.8;11.34;65;240;18,51 €
Universidad Pompeu Fabra;Grado en Ciencias Empresariales - Management;Pública / Propio;10.78;11.06;110;240;25,27 €
Universidad Autónoma de Barcelona;Grado en Enfermería;Pública / Propio;10.77;10.95;90;240;39,53 €
Universidad de Cantabria;Grado en Matemáticas;Pública / Propio;10.76;10.97;60;240;12,62 €
Universitat de València (Estudi General);Grado en Fisioterapia;Pública / Propio;10.76;11.33;160;240;21,16 €
Universidad de Murcia;Grado en Física;Pública / Propio;10.76;11.69;70;240;16,78 €
Universitat Politècnica de València;Grado en Ciencia de Datos;Pública / Propio;10.75;10.86;75;240;20,27 €
Universidad Pompeu Fabra;Grado en Administración y Dirección de Empresas;Pública / Propio;10.74;11.29;170;240;25,27 €
Universidad de Cantabria;Grado en Física;Pública / Propio;10.73;11.52;60;240;12,62 €
Universidad de Cantabria;Grado en Enfermería;Pública / Propio;10.73;11.53;75;240;16,07 €
Universidad de Zaragoza;Grado en Fisioterapia;Pública / Propio;10.73;11.4;60;240;23,39 €
Universitat de València (Estudi General);Grado en Periodismo;Pública / Propio;10.72;11.13;80;240;14,96 €
Universitat de València (Estudi General);Grado en Biología;Pública / Propio;10.72;11.5;128;240;20,27 €
Universidad de Cádiz;Grado en Enfermería;Pública / Propio;10.72;10.59;61;240;12,62 €
Universitat de València (Estudi General);Grado en Farmacia;Pública / Propio;10.72;11.05;208;300;21,16 €
Universidad de Murcia;Grado en Veterinaria;Pública / Propio;10.71;11.24;90;300;16,78 €
Universidad de Oviedo;Grado en Fisioterapia;Pública / Propio;10.71;n/d;64;240;15,70 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Ingeniería Electrónica;Pública / Propio;10.71;11.55;40;240;19,19 €
Universidad Autónoma de Barcelona;Grado en Biología;Pública / Propio;10.7;11.26;80;240;35,77 €
Universidad de Las Palmas de Gran Canaria;Grado en Veterinaria;Pública / Propio;10.68;11.4;72;300;14,59 €
Universidad Complutense de Madrid;Grado en Desarrollo de Videojuegos;Pública / Propio;10.67;11.23;50;240;24,55 €
Universidad de Jaén;Grado en Fisioterapia;Pública / Propio;10.66;10.71;75;240;12,62 €
Universidad de Barcelona;Grado en Empresa Internacional;Pública / Propio;10.66;11.08;80;240;25,27 €
Universidad de Vigo;Grado en Ingeniería Biomédica;Pública / Propio;10.66;11.9;50;240;13,93 €
Universidad de Barcelona;Grado en Biología;Pública / Propio;10.65;11.44;160;240;35,77 €
Universidad de Extremadura;Grado en Veterinaria;Pública / Propio;10.63;11.13;95;300;18,51 €
Universidad de Salamanca;Grado en Enfermería;Pública / Propio;-;-;-;240;21,01 €
Universidad Pompeu Fabra;Grado en Derecho;Pública / Propio;10.62;11.2;260;240;25,27 €
Universidad de Alicante;Grado en Relaciones Internacionales;Pública / Propio;10.61;10.63;70;240;14,96 €
Universidad de Salamanca;Grado en Fisioterapia;Pública / Propio;-;-;-;240;19,37 €
Universidad de León;Grado en Veterinaria;Pública / Propio;10.61;10.97;100;300;22,93 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;10.6;11.22;100;240;19,19 €
Universidad Jaume I de Castellón;Grado en Enfermería;Pública / Propio;10.6;10.79;120;240;21,16 €
Universidad de Alcalá;Grado en Economía y Negocios Internacionales;Pública / Propio;10.59;11.24;100;240;21,39 €
